Episode,Secret_Word,Num_Guesses,Total_Distance,Average_Distance,Correct_Guess,Avg_Decrease_Distance_Per_Guess
153,nephites,100,296,2.96,False,-0.01
154,usurpers,100,279,2.79,False,0.02
155,veld,100,253,2.53,False,0.01
156,tokyopop,100,308,3.08,False,0.0
157,diversity,100,419,4.19,False,0.0
158,erasable,100,355,3.55,False,0.03
159,squid,100,416,4.16,False,-0.01
160,hadadezer,100,274,2.74,False,0.02
161,spacing,100,392,3.92,False,-0.02
162,overrides,100,293,2.93,False,-0.02
163,fulfillment,100,352,3.52,False,-0.01
164,corneille,100,318,3.18,False,0.0
165,ontogeny,100,327,3.27,False,0.02
166,celsius,100,504,5.04,False,-0.01
167,faraway,100,315,3.15,False,0.0
168,ordinance,100,366,3.66,False,0.0
169,intermap,100,261,2.61,False,-0.02
170,valentino,100,362,3.62,False,-0.03
171,mallards,100,313,3.13,False,-0.01
172,lances,100,310,3.1,False,0.0
173,derogatorily,100,304,3.04,False,0.0
174,jaguars,100,392,3.92,False,0.0
175,celibate,100,309,3.09,False,0.01
176,known,100,508,5.08,False,0.0
177,forced,100,452,4.52,False,-0.01
178,swordfish,100,342,3.42,False,0.0
179,complacent,100,282,2.82,False,0.0
180,erlbaum,100,364,3.64,False,0.01
181,flops,100,442,4.42,False,0.0
182,healing,100,441,4.41,False,0.01
183,espouses,100,289,2.89,False,0.0
184,spinrad,100,291,2.91,False,0.0
185,aureus,100,386,3.86,False,0.02
186,renouf,100,329,3.29,False,0.02
187,geos,100,356,3.56,False,-0.02
188,sages,100,377,3.77,False,0.0
189,texaco,100,275,2.75,False,0.0
190,patay,100,302,3.02,False,0.01
191,carnarvon,100,296,2.96,False,0.01
192,here,100,438,4.38,False,0.0
193,stabbed,100,339,3.39,False,-0.01
194,damascius,100,288,2.88,False,0.0
195,startrek,100,285,2.85,False,0.0
196,maximizing,100,440,4.4,False,0.01
197,valvular,100,316,3.16,False,0.02
198,falcon,100,405,4.05,False,-0.01
199,experimenters,100,282,2.82,False,0.0
200,uncia,100,339,3.39,False,-0.01
201,ecclesiastics,100,321,3.21,False,-0.02
202,woodson,100,327,3.27,False,-0.01
203,photovoltaic,100,269,2.69,False,0.0
204,curvilinear,100,262,2.62,False,0.03
205,persuading,100,336,3.36,False,0.0
206,polynesia,100,454,4.54,False,0.0
207,jukebox,100,280,2.8,False,0.01
208,size,100,507,5.07,False,-0.01
209,capucine,100,264,2.64,False,0.02
210,port,100,504,5.04,False,0.0
211,waterston,100,282,2.82,False,-0.01
212,franchised,100,344,3.44,False,0.01
213,compromises,100,322,3.22,False,0.0
214,unchanging,100,323,3.23,False,0.0
215,gyges,100,271,2.71,False,-0.02
216,purses,100,272,2.72,False,0.0
217,disgusted,100,366,3.66,False,0.03
218,mactutor,100,369,3.69,False,0.0
219,theoreticians,100,316,3.16,False,-0.02
220,intermixed,100,309,3.09,False,0.0
221,liliales,100,290,2.9,False,0.0
222,patricians,100,328,3.28,False,0.0
223,norm,100,377,3.77,False,0.01
224,magus,100,354,3.54,False,0.03
225,nonstop,100,404,4.04,False,0.0
226,wilder,100,439,4.39,False,0.02
227,framers,100,292,2.92,False,0.0
228,skyline,100,412,4.12,False,0.01
229,affirming,100,375,3.75,False,0.01
230,drastic,100,411,4.11,False,0.0
231,asymmetry,100,365,3.65,False,0.01
232,carried,100,393,3.93,False,0.0
233,shrinks,100,276,2.76,False,0.02
234,dismount,100,249,2.49,False,-0.01
235,arezzo,100,378,3.78,False,-0.01
236,ting,100,285,2.85,False,0.03
237,ceuta,100,413,4.13,False,0.0
238,seperatist,100,288,2.88,False,0.01
239,relaunch,100,260,2.6,False,-0.01
240,copying,100,368,3.68,False,0.0
241,uncanonical,100,306,3.06,False,0.01
242,villein,100,313,3.13,False,-0.01
243,thorny,100,279,2.79,False,0.0
244,bethesda,100,314,3.14,False,0.01
245,tu,100,449,4.49,False,0.0
246,cortina,100,293,2.93,False,-0.01
247,oxley,100,325,3.25,False,0.0
248,feldspars,100,274,2.74,False,0.01
249,signor,100,267,2.67,False,-0.02
250,min,100,429,4.29,False,0.0
251,maji,100,341,3.41,False,0.0
252,micromachining,100,345,3.45,False,0.0
253,rusting,100,283,2.83,False,0.02
254,sontag,100,302,3.02,False,0.01
255,saussure,100,406,4.06,False,0.01
256,else,100,463,4.63,False,0.01
257,raphael,100,362,3.62,False,-0.01
258,predecessors,100,357,3.57,False,0.0
259,joyous,100,326,3.26,False,-0.01
260,abbotsford,100,298,2.98,False,0.0
261,plze,100,315,3.15,False,0.0
262,cadmium,100,435,4.35,False,0.01
263,malcolm,100,411,4.11,False,-0.02
264,surfacing,100,294,2.94,False,-0.01
265,tian,100,344,3.44,False,0.0
266,quotation,100,410,4.1,False,-0.01
267,homeward,100,316,3.16,False,-0.01
268,rattlesnake,100,266,2.66,False,-0.02
269,iberia,100,363,3.63,False,0.0
270,telus,100,266,2.66,False,-0.01
271,fog,100,360,3.6,False,-0.01
272,ulyanov,100,332,3.32,False,0.0
273,wafl,100,304,3.04,False,0.02
274,warlords,100,320,3.2,False,-0.01
275,phaestus,100,279,2.79,False,-0.02
276,pearly,100,277,2.77,False,0.02
277,bloom,100,393,3.93,False,-0.01
278,lend,100,407,4.07,False,0.0
279,galois,100,449,4.49,False,0.0
280,icelanders,100,324,3.24,False,0.0
281,nickelodeon,100,339,3.39,False,0.0
282,conceive,100,338,3.38,False,-0.01
283,earrings,100,277,2.77,False,0.01
284,refutes,100,287,2.87,False,0.0
285,nonzero,100,372,3.72,False,0.0
286,sgh,100,275,2.75,False,0.01
287,visions,100,384,3.84,False,0.0
288,hostage,100,439,4.39,False,0.0
289,kwaidan,100,269,2.69,False,-0.02
290,fedora,100,309,3.09,False,0.02
291,cronos,100,253,2.53,False,-0.01
292,programing,100,274,2.74,False,0.01
293,hucknall,100,256,2.56,False,0.0
294,suborder,100,430,4.3,False,-0.01
295,interlanguage,100,279,2.79,False,0.0
296,beecham,100,286,2.86,False,0.0
297,undoing,100,320,3.2,False,0.0
298,jdf,100,308,3.08,False,0.0
299,haughty,100,283,2.83,False,0.0
300,garc,100,440,4.4,False,-0.01
301,thins,100,251,2.51,False,0.01
302,lemmy,100,363,3.63,False,0.01
303,lure,100,335,3.35,False,-0.02
304,spector,100,344,3.44,False,0.0
305,iles,100,348,3.48,False,-0.01
306,muon,100,382,3.82,False,0.0
307,tetralogy,100,273,2.73,False,0.01
308,javier,100,351,3.51,False,0.0
309,fixing,100,381,3.81,False,0.0
310,sitter,100,332,3.32,False,0.0
311,rampaging,100,251,2.51,False,0.0
312,shy,100,349,3.49,False,0.01
313,commandos,100,316,3.16,False,0.02
314,gallen,100,339,3.39,False,0.0
315,hillel,100,297,2.97,False,-0.02
316,construction,100,480,4.8,False,0.0
317,phillpotts,100,288,2.88,False,0.01
318,myself,100,392,3.92,False,0.01
319,despotic,100,304,3.04,False,0.02
320,incorporated,100,393,3.93,False,-0.01
321,infty,100,568,5.68,False,0.0
322,snorri,100,454,4.54,False,0.01
323,hailing,100,366,3.66,False,-0.01
324,firing,100,448,4.48,False,0.0
325,veneziano,100,256,2.56,False,0.0
326,adonijah,100,286,2.86,False,0.02
327,subarachnoid,100,324,3.24,False,0.0
328,badged,100,277,2.77,False,0.0
329,asatru,100,331,3.31,False,0.0
330,mulatto,100,370,3.7,False,0.0
331,xb,100,358,3.58,False,-0.01
332,neural,100,461,4.61,False,0.0
333,insulates,100,261,2.61,False,-0.01
334,lewdness,100,299,2.99,False,-0.05
335,toshio,100,282,2.82,False,-0.02
336,bowling,100,481,4.81,False,-0.01
337,reversals,100,289,2.89,False,-0.03
338,mickiewicz,100,317,3.17,False,0.01
339,equinox,100,509,5.09,False,-0.01
340,predicted,100,394,3.94,False,-0.01
341,kalinin,100,264,2.64,False,-0.01
342,fantasia,100,414,4.14,False,0.0
343,selim,100,330,3.3,False,0.0
344,yad,100,408,4.08,False,0.0
345,temporally,100,347,3.47,False,0.0
346,cockatoo,100,243,2.43,False,0.03
347,assailants,100,268,2.68,False,-0.02
348,psychoses,100,271,2.71,False,0.0
349,girard,100,276,2.76,False,0.02
350,bexhill,100,271,2.71,False,-0.01
351,marconi,100,444,4.44,False,0.02
352,benthic,100,270,2.7,False,-0.01
353,lipton,100,294,2.94,False,0.03
354,supervisors,100,315,3.15,False,0.01
355,legalism,100,329,3.29,False,0.01
356,homer,100,437,4.37,False,-0.01
357,siddeley,100,401,4.01,False,0.0
